PNA;NAZWA PLACÓWKI;MIEJSCOWOŚĆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
26-337;UP Aleksandrów k. Opoczna;Aleksandrów;;39 C;Aleksandrów;piotrkowski;łódzkie
26-341;FUP Aleksandrów k. Opoczna;Mniszków;Powstańców Wielkopolskich;1;Mniszków;opoczyński;łódzkie
87-700;UP Aleksandrów Kujawski 1;Aleksandrów Kujawski (Aleksandrówek);Dworcowa;1;Aleksandrów Kujawski;aleksandrowski;kujawsko-pomorskie
87-712;FUP Aleksandrów Kujawski 1;Aleksandrów Kujawski (Aleksandrówek);Szkolna;13;Aleksandrów Kujawski;aleksandrowski;kujawsko-pomorskie
95-070;UP Aleksandrów Łódzki 1;Aleksandrów Łódzki;Wojska Polskiego;69;Aleksandrów Łódzki;zgierski;łódzkie
95-069;FUP Aleksandrów Łódzki 1;Aleksandrów Łódzki;Warszawska;3;Aleksandrów Łódzki;zgierski;łódzkie
95-071;FUP Aleksandrów Łódzki 1;Rąbień;Pańska;14;Aleksandrów Łódzki;zgierski;łódzkie
32-566;UP Alwernia;Alwernia;Zbigniewa Gęsikowskiego;7;Alwernia;chrzanowski;małopolskie
32-551;FUP Alwernia;Babice;Krakowska;47;Babice;chrzanowski;małopolskie
06-212;AP Amelin;Amelin;;8;Krasnosielc;makowski;mazowieckie
34-120;UP Andrychów;Andrychów;Krakowska;100;Andrychów;wadowicki;małopolskie
34-120;FUP Andrychów;Andrychów;Stanisława Lenartowicza;36 b;Andrychów;wadowicki;małopolskie
34-122;FUP Andrychów;Wieprz;Centralna;1;Wieprz;wadowicki;małopolskie
17-100;AP Andryjanki;Andryjanki;;93;Boćki;bielski;podlaskie
07-305;UP Andrzejewo k. Czyżewa;Andrzejewo;Wysocka;1 A;Andrzejewo;ostrowski;mazowieckie
23-235;UP Annopol;Annopol;Rynek;24;Annopol;kraśnicki;lubelskie
37-455;AP Antoniów;Antoniów;;114;Radomyśl nad Sanem;stalowowolski;podkarpackie
17-100;AP Augustowo;Augustowo;;95;Bielsk Podlaski;bielski;podlaskie
16-300;UP Augustów 1;Augustów;rynek Zygmunta Augusta;3;Augustów;augustowski;podlaskie
16-300;FUP Augustów 1;Augustów;Komunalna;2;Augustów;augustowski;podlaskie
16-301;FUP Augustów 1;skrytki/przegródki;;;Augustów;augustowski;podlaskie
16-302;FUP Augustów 1;Augustów;Partyzantów;42;Augustów;augustowski;podlaskie
16-320;FUP Augustów 1;Bargłów Kościelny;Tysiąclecia;2;Bargłów Kościelny;augustowski;podlaskie
16-304;FUP Augustów 1;Nowinka;;27A;Nowinka;augustowski;podlaskie
16-326;FUP Augustów 1;Płaska;;53;Płaska;augustowski;podlaskie
16-303;UP Augustów 5;Augustów;Hoża;2 B;Augustów;augustowski;podlaskie
62-620;UP Babiak;Babiak;pl. Wolności;2;Babiak;kolski;wielkopolskie
66-110;UP Babimost;Babimost;Wolsztyńska;3;Babimost;zielonogórski;lubuskie
09-130;UP Baboszewo;Baboszewo;Jana i Antoniego Brodeckich;1;Baboszewo;płoński;mazowieckie
09-164;FUP Baboszewo;Dzierzążnia;;28;Dzierzążnia;płoński;mazowieckie
26-020;AP Balice k. Buska-Zdroju;Balice;;81;Gnojno;buski;świętokrzyskie
80-297;AP Banino;Banino;Klonowa;12;Żukowo;kartuski;pomorskie
62-081;AP Baranowo;Baranowo;Szamotulska;26/J;Tarnowo Podgórne;poznański;wielkopolskie
12-160;AP Baranowo;Baranowo;;18;Wielbark;szczycieński;warmińsko-mazurskie
06-320;UP Baranowo k. Ostrołęki;Baranowo;pl. Rynek;7;Baranowo;ostrołęcki;mazowieckie
63-604;UP Baranów;Baranów;Kościelna;2;Baranów;kępiński;wielkopolskie
24-105;UP Baranów n. Wieprzem;Baranów;Puławska;9;Baranów;puławski;lubelskie
39-450;UP Baranów Sandomierski;Baranów Sandomierski;Rynek;24;Baranów Sandomierski;tarnobrzeski;podkarpackie
33-342;AP Barcice Dolne;Barcice Dolne;;200;Stary Sącz;nowosądecki;małopolskie
88-193;AP Barcin;Barcin;św. Wojciecha;5/1;Barcin;żniński;kujawsko-pomorskie
88-190;UP Barcin 1;Barcin;Artylerzystów;5;Barcin;żniński;kujawsko-pomorskie
88-192;FUP Barcin 1;Piechcin;11 Listopada;3;Barcin;żniński;kujawsko-pomorskie
11-010;UP Barczewo;Barczewo;pl. Pocztowy;1;Barczewo;olsztyński;warmińsko-mazurskie
77-300;AP Barkowo k. Człuchowa;Barkowo;;15 A;Człuchów;człuchowski;pomorskie
74-320;UP Barlinek;Barlinek;al. 1 Maja;6;Barlinek;myśliborski;zachodniopomorskie
73-260;FUP Barlinek;Pełczyce;rynek Bursztynowy;4;Pełczyce;choszczeński;zachodniopomorskie
74-321;AP Barlinek;Barlinek;Kombatantów;4;Barlinek;myśliborski;zachodniopomorskie
74-320;AP Barlinek;Barlinek;Żabia;5;Barlinek;myśliborski;zachodniopomorskie
83-220;AP Barłożno;Barłożno;;51;Skórcz;starogardzki;pomorskie
16-070;AP Barszczewo;Barszczewo;;11A;Choroszcz;białostocki;podlaskie
11-200;UP Bartoszyce 1;Bartoszyce;11 Listopada;3;Bartoszyce;bartoszycki;warmińsko-mazurskie
11-201;FUP Bartoszyce 1;Bartoszyce;Generała Bema;53;Bartoszyce;bartoszycki;warmińsko-mazurskie
11-204;FUP Bartoszyce 1;Bartoszyce;Ogrodowa;1 A;Bartoszyce;bartoszycki;warmińsko-mazurskie
11-207;FUP Bartoszyce 1;Bartoszyce;Andrzeja Witolda Wajdy;12 A;Bartoszyce;bartoszycki;warmińsko-mazurskie
11-206;FUP Bartoszyce 1;Bartoszyce;Kardynała Wyszyńskiego;11;Bartoszyce;bartoszycki;warmińsko-mazurskie
11-205;FUP Bartoszyce 1;Bartoszyce;Żeromskiego;33;Bartoszyce;bartoszycki;warmińsko-mazurskie
78-460;UP Barwice k. Szczecinka;Barwice;Wolności Pl.;4;Barwice;szczecinecki;zachodniopomorskie
78-450;FUP Barwice k. Szczecinka;Grzmiąca;Kolejowa;3a;Grzmiąca;szczecinecki;zachodniopomorskie
36-245;AP Barycz;Barycz;;264;Domaradz;brzozowski;podkarpackie
23-320;UP Batorz;Batorz (Batorz Pierwszy);;50;Batorz;janowski;lubelskie
87-704;UP Bądkowo;Bądkowo;Kujawska;41;Bądkowo;aleksandrowski;kujawsko-pomorskie
87-732;FUP Bądkowo;Lubanie;;17a;Lubanie;włocławski;kujawsko-pomorskie
29-100;AP Bebelno-Kolonia;Bebelno-Kolonia;;79;Włoszczowa;włoszczowski;świętokrzyskie
21-301;AP Bedlno Radzyńskie;Bedlno Radzyńskie;;28A;Radzyń Podlaski;radzyński;lubelskie
64-212;AP Belęcin;Belęcin;;30;Siedlec;wolsztyński;wielkopolskie
05-622;UP Belsk Duży k. Grójca;Belsk Duży;Jana Kozietulskiego;4;Belsk Duży;grójecki;mazowieckie
97-404;AP Bełchatów;Bełchatów;Czapliniecka Os.;3;Bełchatów;bełchatowski;łódzkie
97-409;AP Bełchatów;Bełchatów;Czapliniecka;67;Bełchatów;bełchatowski;łódzkie
97-400;AP Bełchatów;Bełchatów;1 Maja;26E;Bełchatów;bełchatowski;łódzkie
97-400;AP Bełchatów;Bełchatów;Olsztyńska;1 B;Bełchatów;bełchatowski;łódzkie
97-405;AP Bełchatów;Bełchatów;Rynek Grocholski;27;Bełchatów;bełchatowski;łódzkie
97-400;AP Bełchatów;Bełchatów;Wojska Polskiego;23N;Bełchatów;bełchatowski;łódzkie
97-402;AP Bełchatów;Bełchatów;Al. Stefana Wyszyńskiego;17C;Bełchatów;bełchatowski;łódzkie
97-400;UP Bełchatów 1;Bełchatów;Kościuszki;21;Bełchatów;bełchatowski;łódzkie
97-408;FUP Bełchatów 1;Bełchatów;św. Barbary;2;Bełchatów;bełchatowski;łódzkie
97-407;FUP Bełchatów 1;Bełchatów;Energetyków;12;Bełchatów;bełchatowski;łódzkie
97-406;FUP Bełchatów 1;Bełchatów;Malinowa;2 A;Bełchatów;bełchatowski;łódzkie
97-415;FUP Bełchatów 1;Kluki;;88;Kluki;bełchatowski;łódzkie
44-237;AP Bełk;Bełk;Główna;73;Czerwionka-Leszczyny;rybnicki;śląskie
24-200;UP Bełżyce;Bełżyce;Lubelska;3;Bełżyce;lubelski;lubelskie
24-201;AP Bełżyce;Bełżyce;Bychawska;22;Bełżyce;lubelski;lubelskie
63-700;AP Benice;Benice;Krotoszyńska;14;Krotoszyn;krotoszyński;wielkopolskie
33-382;AP Berest;Berest;;6;Krynica-Zdrój;nowosądecki;małopolskie
16-500;AP Berżniki;Berżniki;;54;Sejny;sejneński;podlaskie
43-512;UP Bestwina;Bestwina;Podzamcze;16;Bestwina;bielski;śląskie
11-200;AP Bezledy;Bezledy;;27;Bartoszyce;bartoszycki;warmińsko-mazurskie
73-260;AP Będargowo;Będargowo;;65;Pełczyce;choszczeński;zachodniopomorskie
97-319;UP Będków;Będków;Władysława Stanisława Reymonta;6;Będków;tomaszowski;łódzkie
42-500;UP Będzin 1;Będzin;Ignacego Krasickiego;1;Będzin;będziński;śląskie
42-500;FUP Będzin 1;Będzin;Bolesława Chrobrego;3;Będzin;będziński;śląskie
42-500;FUP Będzin 1;Będzin;rtm. Witolda Pileckiego;15;Będzin;będziński;śląskie
42-500;FUP Będzin 1;Będzin;Pokoju;24;Będzin;będziński;śląskie
42-506;FUP Będzin 1;Będzin;mjr. Bolesława Zagórnego;18;Będzin;będziński;śląskie
42-500;FUP Będzin 1;Będzin;Żwirki i Wigury;24 A;Będzin;będziński;śląskie
42-500;FUP Będzin 1;Czeladź;Będzińska;80;Czeladź;będziński;śląskie
42-500;FUP Będzin 1;Psary;Malinowicka;4;Psary;będziński;śląskie
42-500;FUP Będzin 1;Sosnowiec;Stanisława Staszica;8 b;Sosnowiec;Sosnowiec;śląskie
42-500;FUP Będzin 1;Sosnowiec;Zuzanny;20;Sosnowiec;Sosnowiec;śląskie
42-505;UP Będzin 5;Będzin;Zwycięstwa;9;Będzin;będziński;śląskie
46-233;AP Biadacz;Biadacz;Kluczborska;19;Kluczbork;kluczborski;opolskie
32-828;AP Biadoliny Radłowskie;Biadoliny Radłowskie;;389;Wojnicz;tarnowski;małopolskie
09-411;UP Biała;Biała;Jana Kazimierza;8;Stara Biała;płocki;mazowieckie
48-210;UP Biała;Biała;1 Maja;30;Biała;prudnicki;opolskie
64-980;AP Biała;Biała;Kościelna;25;Trzcianka;czarnkowsko-trzcianecki;wielkopolskie
12-230;UP Biała Piska;Biała Piska;Moniuszki;1;Biała Piska;piski;warmińsko-mazurskie
21-501;AP Biała Podlaska;Biała Podlaska;Terebelska;57 A;Biała Podlaska;Biała Podlaska;lubelskie
21-500;UP Biała Podlaska 1;Biała Podlaska;Plac Wolności;9;Biała Podlaska;Biała Podlaska;lubelskie
21-502;FUP Biała Podlaska 1;Biała Podlaska;Aleja Tysiąclecia;35;Biała Podlaska;Biała Podlaska;lubelskie
21-507;FUP Biała Podlaska 1;Biała Podlaska;Łomaska;43 D;Biała Podlaska;Biała Podlaska;lubelskie
21-527;FUP Biała Podlaska 1;Biała Podlaska;Orzechowa;34;Biała Podlaska;Biała Podlaska;lubelskie
21-501;FUP Biała Podlaska 1;Biała Podlaska;Zygmunta Starego;10;Biała Podlaska;Biała Podlaska;lubelskie
21-512;FUP Biała Podlaska 1;Zalesie;Warszawska;34;Zalesie;bialski;lubelskie
21-506;UP Biała Podlaska 6;Biała Podlaska;Warszawska;17;Biała Podlaska;Biała Podlaska;lubelskie
19-200;AP Białaszewo;Białaszewo;Mikołaja Kopernika;45;Grajewo;grajewski;podlaskie
86-005;UP Białe Błota;Białe Błota;Guliwera;11;Białe Błota;bydgoski;kujawsko-pomorskie
86-065;FUP Białe Błota;Łochowo;szosa Nakielska;8;Białe Błota;bydgoski;kujawsko-pomorskie
34-405;AP Białka Tatrzańska;Białka Tatrzańska;Środkowa;179;Bukowina Tatrzańska;tatrzański;małopolskie
16-300;AP Białobrzegi;Białobrzegi;;67A;Augustów;augustowski;podlaskie
37-114;UP Białobrzegi k. Łańcuta;Białobrzegi;;4;Białobrzegi;łańcucki;podkarpackie
26-800;UP Białobrzegi Radomskie;Białobrzegi;11 Listopada;28;Białobrzegi;białobrzeski;mazowieckie
26-803;FUP Białobrzegi Radomskie;Promna-Kolonia;;5/6;Promna;białobrzeski;mazowieckie
78-202;AP Białogard;Białogard;Dworcowa;1c;Białogard;białogardzki;zachodniopomorskie
78-200;UP Białogard 1;Białogard;Wojska Polskiego;87/88;Białogard;białogardzki;zachodniopomorskie
78-210;FUP Białogard 1;Białogard;Chopina;30;Białogard;białogardzki;zachodniopomorskie
78-200;FUP Białogard 1;Białogard;Kochanowskiego;26;Białogard;białogardzki;zachodniopomorskie
78-200;FUP Białogard 1;Białogard;Feliksa Stamma;2 A;Białogard;białogardzki;zachodniopomorskie
67-210;AP Białołęka;Białołęka;;33;Pęcław;głogowski;dolnośląskie
19-112;AP Białosuknia;Białosuknia;;42;Goniądz;moniecki;podlaskie
09-500;AP Białotarsk;Białotarsk;;36;Gostynin;gostyniński;mazowieckie
16-130;AP Białousy;Białousy;;45;Janów;sokólski;podlaskie
78-452;AP Białowąs;Białowąs;;4;Barwice;szczecinecki;zachodniopomorskie
15-762;AP Białystok;Białystok;Antoniuk Fabryczny;55/4;Białystok;Białystok;podlaskie
15-582;AP Białystok;Białystok;Grabowa;4;Białystok;Białystok;podlaskie
15-820;AP Białystok;Białystok;Zagórna;8/U-1;Białystok;Białystok;podlaskie
15-705;AP Białystok;Białystok;Zwycięstwa;25A;Białystok;Białystok;podlaskie
15-001;UP Białystok 1;Białystok;Warszawska;10;Białystok;Białystok;podlaskie
15-950;UP Białystok 1;skrytki/przegródki;;;Białystok;Białystok;podlaskie
15-001;FUP Białystok 1;Białystok;Kawaleryjska;34;Białystok;Białystok;podlaskie
15-601;FUP Białystok 1;skrytki/przegródki;;;Białystok;Białystok;podlaskie
15-001;FUP Białystok 1;Białystok;Jana Kilińskiego;1;Białystok;Białystok;podlaskie
15-001;FUP Białystok 1;Białystok;Plażowa;17;Białystok;Białystok;podlaskie
15-182;FUP Białystok 1;Białystok;42 Pułku Piechoty;127/U1;Białystok;Białystok;podlaskie
15-026;FUP Białystok 1;Białystok;Słonimska;1;Białystok;Białystok;podlaskie
15-571;FUP Białystok 1;Białystok;Stoczni Gdańskiej;76;Białystok;Białystok;podlaskie
15-219;FUP Białystok 1;Białystok;Świętojańska;13;Białystok;Białystok;podlaskie
15-644;FUP Białystok 1;Białystok;Wrocławska;20/32A;Białystok;Białystok;podlaskie
15-523;FUP Białystok 1;Sobolewo;Szosa Baranowicka;92;Supraśl;białostocki;podlaskie
15-900;UP Białystok 2;Białystok;Kolejowa;15;Białystok;Białystok;podlaskie
15-959;UP Białystok 2;skrytki/przegródki;;;Białystok;Białystok;podlaskie
15-900;FUP Białystok 2;Dobrzyniewo Duże;Białostocka;12;Dobrzyniewo Duże;białostocki;podlaskie
15-214;UP Białystok 3;Białystok;Adama Mickiewicza;17;Białystok;Białystok;podlaskie
15-566;FUP Białystok 3;Białystok;Dojlidy Fabryczne;24;Białystok;Białystok;podlaskie
15-530;FUP Białystok 3;Białystok;Sowlańska;33;Białystok;Białystok;podlaskie
15-428;UP Białystok 4;Białystok;Lipowa;32;Białystok;Białystok;podlaskie
15-344;UP Białystok 6;Białystok;Stanisława Dubois;5;Białystok;Białystok;podlaskie
15-050;UP Białystok 8;Białystok;Mieszka I;14/7;Białystok;Białystok;podlaskie
15-436;UP Białystok 9;Białystok;Rynek Kościuszki;13;Białystok;Białystok;podlaskie
15-770;UP Białystok 10;Białystok;Hugo Kołłątaja;7;Białystok;Białystok;podlaskie
15-821;UP Białystok 11;Białystok;Zagórna;2 B;Białystok;Białystok;podlaskie
15-807;FUP Białystok 11;Białystok;Dziesięciny;45;Białystok;Białystok;podlaskie
15-641;UP Białystok 13;Białystok;Nowosielska;34;Białystok;Białystok;podlaskie
15-308;UP Białystok 14;Białystok;Wesoła;18;Białystok;Białystok;podlaskie
15-792;UP Białystok 16;Białystok;Władysława Broniewskiego;4;Białystok;Białystok;podlaskie
15-880;UP Białystok 17;Białystok;Stołeczna;25;Białystok;Białystok;podlaskie
15-378;UP Białystok 18;Białystok;gen. Józefa Bema;66;Białystok;Białystok;podlaskie
15-859;UP Białystok 19;Białystok;Białostoczek;21;Białystok;Białystok;podlaskie
15-664;UP Białystok 20;Białystok;Konwaliowa;2;Białystok;Białystok;podlaskie
15-471;UP Białystok 21;Białystok;Ciepła;15;Białystok;Białystok;podlaskie
15-168;UP Białystok 23;Białystok;Władysława Wysockiego;67/A10;Białystok;Białystok;podlaskie
15-057;UP Białystok 24;Białystok;Bolesława Chrobrego;2;Białystok;Białystok;podlaskie
15-212;FUP Białystok 24;Białystok;ks. Stanisława Andrukiewicza;2/2U;Białystok;Białystok;podlaskie
15-148;UP Białystok 25;Białystok;Wasilkowska;1;Białystok;Białystok;podlaskie
15-662;UP Białystok 26;Białystok;Wincentego Witosa;32;Białystok;Białystok;podlaskie
15-695;FUP Białystok 26;Białystok;Bacieczki;212;Białystok;Białystok;podlaskie
15-100;UP Białystok 27;Białystok;Bitwy Białostockiej;8A;Białystok;Białystok;podlaskie
15-675;UP Białystok 28;Białystok;Ekologiczna;16;Białystok;Białystok;podlaskie
15-154;UP Białystok 29;Białystok;Trawiasta;16;Białystok;Białystok;podlaskie
15-280;UP Białystok 30;Białystok;Jerzego Waszyngtona;22 B;Białystok;Białystok;podlaskie
15-775;UP Białystok 31;Białystok;Konstytucji 3 Maja Al.;22;Białystok;Białystok;podlaskie
15-699;UP Białystok 32;Białystok;ks. Witolda Pietkuna;5;Białystok;Białystok;podlaskie
15-330;UP Białystok 33;Białystok;Zachodnia;5 B;Białystok;Białystok;podlaskie
15-447;UP Białystok 34;Białystok;Aleja Józefa Piłsudskiego;26;Białystok;Białystok;podlaskie
15-900;PP Białystok B102;Białystok;Kolejowa;15;Białystok;Białystok;podlaskie
15-700;PP Białystok B103;Białystok;Zwycięstwa;1/2;Białystok;Białystok;podlaskie
38-340;UP Biecz;Biecz;Kazimierza Wielkiego;9;Biecz;gorlicki;małopolskie
38-305;FUP Biecz;Lipinki;;53;Lipinki;gorlicki;małopolskie
68-343;AP Biecz;Biecz;;61;Brody;żarski;lubuskie
62-305;AP Bieganowo;Bieganowo;;18;Kołaczkowo;wrzesiński;wielkopolskie
55-077;UP Bielany Wrocławskie 4;Bielany Wrocławskie;Francuska;6;Kobierzyce;wrocławski;dolnośląskie
58-260;UP Bielawa 1;Bielawa;Piastowska;16;Bielawa;dzierżoniowski;dolnośląskie
58-260;FUP Bielawa 1;Bielawa;Stefana Żeromskiego;21;Bielawa;dzierżoniowski;dolnośląskie
58-261;FUP Bielawa 1;skrytki/przegródki;;;Bielawa;dzierżoniowski;dolnośląskie
